epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,4194.33,1.24868,1.97957,1.652,0.88717,0.18198,0.28418,0.11158,2.21123,3.50119,3.23915,0.0003367,0.0003367,0.0003367
69,4254.86,1.20697,1.79188,1.59483,0.9361,0.19048,0.26494,0.10517,2.24502,3.51397,3.26492,0.0003268,0.0003268,0.0003268
70,4315.5,1.11262,1.85204,1.59493,0.17784,0.39048,0.27142,0.08707,2.22278,3.63957,3.25187,0.0003169,0.0003169,0.0003169
71,4375.87,1.19391,1.87371,1.62449,0.50144,0.29881,0.2669,0.08014,2.24678,3.70783,3.24856,0.000307,0.000307,0.000307
72,4436.09,1.18892,1.9017,1.59411,0.54865,0.21023,0.23688,0.07097,2.26713,3.82224,3.28129,0.0002971,0.0002971,0.0002971
73,4496.33,1.13884,1.84623,1.53891,0.35076,0.2177,0.21428,0.07704,2.25231,3.97177,3.34157,0.0002872,0.0002872,0.0002872
74,4556.99,1.13867,1.77212,1.54144,0.37323,0.18214,0.20613,0.0757,2.25639,3.83409,3.36702,0.0002773,0.0002773,0.0002773
75,4617.78,1.09812,1.74442,1.55176,0.36497,0.20542,0.22903,0.0971,2.20415,3.67961,3.31314,0.0002674,0.0002674,0.0002674
76,4678.45,1.19189,1.72395,1.59825,0.18067,0.35268,0.25033,0.11186,2.12975,3.54483,3.25612,0.0002575,0.0002575,0.0002575
77,4738.83,1.1734,1.73285,1.57323,0.20933,0.43989,0.24012,0.10382,2.09382,3.52283,3.2297,0.0002476,0.0002476,0.0002476
78,4799.04,1.13218,1.64818,1.51911,0.48063,0.34379,0.25085,0.09908,2.06552,3.56073,3.1258,0.0002377,0.0002377,0.0002377
79,4859.29,1.17344,1.72663,1.58978,0.48618,0.32326,0.27091,0.10475,2.13952,3.57634,3.19863,0.0002278,0.0002278,0.0002278
80,4919.54,1.10612,1.71412,1.54505,0.31651,0.3232,0.26765,0.11045,2.10396,3.51391,3.19048,0.0002179,0.0002179,0.0002179
81,4980.19,1.18143,1.83567,1.65005,0.30183,0.39881,0.24663,0.12246,2.04311,3.4783,3.12533,0.000208,0.000208,0.000208
82,5041.2,1.11416,1.73632,1.54995,0.15797,0.27972,0.24281,0.11627,2.05714,3.48052,3.08523,0.0001981,0.0001981,0.0001981
83,5101.77,1.11053,1.684,1.54817,0.15383,0.27916,0.23526,0.11447,2.06807,3.53398,3.06131,0.0001882,0.0001882,0.0001882
84,5162.28,1.15505,1.6641,1.57273,0.28124,0.26548,0.22578,0.10614,2.08503,3.51432,3.0518,0.0001783,0.0001783,0.0001783
85,5223.86,1.08249,1.72532,1.50964,0.70439,0.14881,0.21966,0.09458,2.02366,3.49737,3.01519,0.0001684,0.0001684,0.0001684
86,5284.72,1.05822,1.53699,1.511,0.72462,0.14881,0.20414,0.09217,2.03056,3.45459,3.0704,0.0001585,0.0001585,0.0001585
87,5345.57,1.10861,1.79097,1.55566,0.73618,0.1423,0.22727,0.09401,2.07681,3.53199,3.17827,0.0001486,0.0001486,0.0001486
88,5406.81,1.09016,1.65468,1.52308,0.46726,0.18727,0.20543,0.08835,2.10127,3.65142,3.2293,0.0001387,0.0001387,0.0001387
89,5467.88,1.08586,1.62968,1.51079,0.45914,0.23214,0.20927,0.08929,2.06874,3.64676,3.26402,0.0001288,0.0001288,0.0001288
90,5528.83,1.04824,1.62455,1.5155,0.28592,0.23214,0.18825,0.08853,2.05545,3.73334,3.25346,0.0001189,0.0001189,0.0001189
91,5589.6,1.05905,1.813,1.66173,0.28969,0.23214,0.1854,0.08859,2.07884,3.81461,3.24607,0.000109,0.000109,0.000109
92,5650.01,1.16555,1.87672,1.86433,0.71677,0.14881,0.19121,0.09133,2.13061,3.95925,3.23561,9.91e-05,9.91e-05,9.91e-05
93,5710.78,1.06158,1.72344,1.63633,0.74597,0.18706,0.20081,0.09575,2.08122,3.98407,3.21345,8.92e-05,8.92e-05,8.92e-05
94,5771.18,1.05938,1.81183,1.71428,0.3444,0.22078,0.23395,0.1165,2.06109,4.01894,3.17368,7.93e-05,7.93e-05,7.93e-05
95,5831.62,1.07342,1.79378,1.72828,0.34693,0.22886,0.2363,0.11056,2.04557,3.97133,3.15023,6.94e-05,6.94e-05,6.94e-05
96,5892.08,1.03083,1.79621,1.70861,0.58165,0.19106,0.23345,0.10965,2.03718,4.01581,3.12591,5.95e-05,5.95e-05,5.95e-05
97,5952.36,1.02496,1.7623,1.70606,0.63831,0.19048,0.23159,0.10831,2.043,4.01145,3.12163,4.96e-05,4.96e-05,4.96e-05
98,6013.05,0.93624,1.71304,1.62491,0.40722,0.24064,0.24671,0.10854,2.06185,4.00386,3.14293,3.97e-05,3.97e-05,3.97e-05
99,6073.54,1.02466,1.73905,1.68851,0.42792,0.24292,0.25008,0.11266,2.07476,3.9153,3.1373,2.98e-05,2.98e-05,2.98e-05
100,6134.82,1.03122,1.82048,1.70648,0.43487,0.25108,0.25957,0.11063,2.05628,3.86781,3.12411,1.99e-05,1.99e-05,1.99e-05
